city;city_ascii;state_id;state_name;county_fips;county_name;county_fips_all;county_name_all;lat;lng;population;density;source;military;incorporated;timezone;ranking;zips;id
Headland;Headland;AL;Alabama;1067;Henry;01067;Henry;313501;-853523;4683;59;polygon;FAUX;VRAI;America/Chicago;3;36345;1840014949
Hissop;Hissop;AL;Alabama;1037;Coosa;01037;Coosa;328746;-861159;517;10;polygon;FAUX;FAUX;America/Chicago;3;35010 35089;1840023019
Spanish Fort;Spanish Fort;AL;Alabama;1003;Baldwin;01003;Baldwin;307257;-878601;8644;110;polygon;FAUX;VRAI;America/Chicago;3;36507 36527 36578 36577;1840015879
Enterprise;Enterprise;AL;Alabama;1031;Coffee;01031|01045;Coffee|Dale;313276;-858459;387370;356;polygon;FAUX;VRAI;America/Chicago;3;36330 36331;1840001548
Section;Section;AL;Alabama;1071;Jackson;01071;Jackson;345816;-859849;745;62;polygon;FAUX;VRAI;America/Chicago;3;35771;1840017899
Redland;Redland;AL;Alabama;1051;Elmore;01051;Elmore;324754;-861375;4030;64;polygon;FAUX;VRAI;America/Chicago;3;36093;1840037844
Montevallo;Montevallo;AL;Alabama;1117;Shelby;01117;Shelby;331254;-868482;6636;204;polygon;FAUX;VRAI;America/Chicago;3;35115;1840014825
Glen Allen;Glen Allen;AL;Alabama;1057;Fayette;01057|01093;Fayette|Marion;338922;-877328;491;29;polygon;FAUX;VRAI;America/Chicago;3;35559 35594 35554;1840005839
Magnolia Springs;Magnolia Springs;AL;Alabama;1003;Baldwin;01003;Baldwin;304003;-877748;804;345;polygon;FAUX;VRAI;America/Chicago;3;36535 36555;1840017124
Lexington;Lexington;AL;Alabama;1077;Lauderdale;01077;Lauderdale;349652;-873735;717;85;polygon;FAUX;VRAI;America/Chicago;3;35648;1840016504
Dunnavant;Dunnavant;AL;Alabama;1117;Shelby;01117;Shelby;335006;-865380;899;19;polygon;FAUX;VRAI;America/Chicago;3;35094 35176;1840037812
Cusseta;Cusseta;AL;Alabama;1017;Chambers;01017;Chambers;327876;-853057;121;17;polygon;FAUX;VRAI;America/Chicago;3;36852;1840023011
County Line;County Line;AL;Alabama;1009;Blount;01009|01073;Blount|Jefferson;338210;-867198;264;105;polygon;FAUX;VRAI;America/Chicago;3;35172;1840016719
Rock Creek;Rock Creek;AL;Alabama;1073;Jefferson;01073;Jefferson;334772;-870812;1338;171;polygon;FAUX;FAUX;America/Chicago;3;35023;1840027632
Winfield;Winfield;AL;Alabama;1093;Marion;01093|01057;Marion|Fayette;339324;-877964;4468;97;polygon;FAUX;VRAI;America/Chicago;3;35594;1840015587
Warrior;Warrior;AL;Alabama;1073;Jefferson;01073;Jefferson;338153;-868153;3208;126;polygon;FAUX;VRAI;America/Chicago;3;35180;1840015674
Morrison Crossroads;Morrison Crossroads;AL;Alabama;1111;Randolph;01111;Randolph;334198;-854903;287;21;polygon;FAUX;VRAI;America/Chicago;3;36280;1840037831
McIntosh;McIntosh;AL;Alabama;1129;Washington;01129;Washington;312649;-880284;223;86;polygon;FAUX;VRAI;America/Chicago;3;36553;1840005189
Pell City;Pell City;AL;Alabama;1115;St. Clair;01115;St. Clair;335609;-862668;119520;212;polygon;FAUX;VRAI;America/Chicago;3;35125 35128;1840014771
Vernon;Vernon;AL;Alabama;1075;Lamar;01075;Lamar;337589;-881144;1877;123;polygon;FAUX;VRAI;America/Chicago;3;35592;1840005593
Macedonia;Macedonia;AL;Alabama;1107;Pickens;01107;Pickens;334031;-882392;215;21;polygon;FAUX;FAUX;America/Chicago;3;35461;1840026992
Courtland;Courtland;AL;Alabama;1079;Lawrence;01079;Lawrence;346703;-873262;590;77;polygon;FAUX;VRAI;America/Chicago;3;35618;1840016590
Ardmore;Ardmore;AL;Alabama;1083;Limestone;01083;Limestone;349847;-868373;1398;264;polygon;FAUX;VRAI;America/Chicago;3;35739;1840015515
Mosses;Mosses;AL;Alabama;1085;Lowndes;01085;Lowndes;321801;-866888;914;74;polygon;FAUX;VRAI;America/Chicago;3;36040;1840017006
Guin;Guin;AL;Alabama;1093;Marion;01093;Marion;339830;-879017;2274;58;polygon;FAUX;VRAI;America/Chicago;3;35563;1840013640
McDonald Chapel;McDonald Chapel;AL;Alabama;1073;Jefferson;01073;Jefferson;335189;-869385;610;219;polygon;FAUX;FAUX;America/Chicago;3;35224;1840013725
Lanett;Lanett;AL;Alabama;1017;Chambers;01017;Chambers;328576;-852079;6271;387;polygon;FAUX;VRAI;America/Chicago;3;36863;1840014858
Union;Union;AL;Alabama;1063;Greene;01063;Greene;329938;-879071;219;102;polygon;FAUX;VRAI;America/Chicago;3;35462;1840016909
Axis;Axis;AL;Alabama;1097;Mobile;01097;Mobile;309296;-880180;1336;132;polygon;FAUX;FAUX;America/Chicago;3;36505;1840025979
Gardendale;Gardendale;AL;Alabama;1073;Jefferson;01073;Jefferson;336679;-868068;13906;234;polygon;FAUX;VRAI;America/Chicago;3;35071 35119;1840002820
Smiths Station;Smiths Station;AL;Alabama;1081;Lee;01081;Lee;325284;-850960;5418;302;polygon;FAUX;VRAI;America/Chicago;3;36877;1840015792
Orrville;Orrville;AL;Alabama;1047;Dallas;01047;Dallas;323068;-872454;178;66;polygon;FAUX;VRAI;America/Chicago;3;36767;1840016970
Double Springs;Double Springs;AL;Alabama;1133;Winston;01133;Winston;341496;-874027;1036;97;polygon;FAUX;VRAI;America/Chicago;3;35553;1840007127
Horn Hill;Horn Hill;AL;Alabama;1039;Covington;01039;Covington;312382;-863211;225;33;polygon;FAUX;VRAI;America/Chicago;3;36467;1840017093
Opp;Opp;AL;Alabama;1039;Covington;01039;Covington;312848;-862570;46680;105;polygon;FAUX;VRAI;America/Chicago;3;36467;1840014960
Lake View;Lake View;AL;Alabama;1125;Tuscaloosa;01125;Tuscaloosa;332802;-871257;40350;423;polygon;FAUX;VRAI;America/Chicago;3;35111;1840016839
Eldridge;Eldridge;AL;Alabama;1127;Walker;01127;Walker;339220;-876201;123;67;polygon;FAUX;VRAI;America/Chicago;3;35554;1840016767
Theodore;Theodore;AL;Alabama;1097;Mobile;01097;Mobile;305408;-881884;6536;315;polygon;FAUX;FAUX;America/Chicago;3;36590 36582;1840013895
Eutaw;Eutaw;AL;Alabama;1063;Greene;01063;Greene;328436;-878987;2687;86;polygon;FAUX;VRAI;America/Chicago;3;35462;1840001838
Thorsby;Thorsby;AL;Alabama;1021;Chilton;01021;Chilton;329170;-867203;2054;136;polygon;FAUX;VRAI;America/Chicago;3;35171;1840016920
Sylvan Springs;Sylvan Springs;AL;Alabama;1073;Jefferson;01073;Jefferson;335287;-870312;1506;66;polygon;FAUX;VRAI;America/Chicago;3;35118;1840016803
Midway;Midway;AL;Alabama;1011;Bullock;01011;Bullock;320764;-855244;465;54;polygon;FAUX;VRAI;America/Chicago;3;36053;1840017020
New Market;New Market;AL;Alabama;1089;Madison;01089;Madison;348892;-864226;1306;28;polygon;FAUX;FAUX;America/Chicago;3;35761;1840013548
Centreville;Centreville;AL;Alabama;1007;Bibb;01007;Bibb;329597;-871334;2680;109;polygon;FAUX;VRAI;America/Chicago;3;35042;1840007089
Newton;Newton;AL;Alabama;1045;Dale;01045;Dale;313423;-855893;1464;39;polygon;FAUX;VRAI;America/Chicago;3;36371 36352 36360;1840017088
Birmingham;Birmingham;AL;Alabama;1073;Jefferson;01073|01117;Jefferson|Shelby;335277;-867987;7441890;556;polygon;FAUX;VRAI;America/Chicago;2;35218 35214 35215 35217 35210 35211 35212 35213 35243 35242 35224 35221 35222 35228 35203 35207 35206 35205 35204 35209 35208 35254 35068 35061 35234 35235 35233 35201 35202 35220 35232 35237 35238 35246 35249 35255 35259 35261 35270 35282 35283 35285 35287 35290 35291 35292 35294 35295 35297 35298;1840006507
Montgomery;Montgomery;AL;Alabama;1101;Montgomery;01101;Montgomery;323473;-862666;2559080;481;polygon;FAUX;VRAI;America/Chicago;2;36064 36112 36113 36110 36111 36117 36115 36116 36108 36105 36104 36106 36109 36107 36101 36114 36118 36120 36121 36123 36124 36125 36130 36131 36132 36135 36140 36141 36142 36177 36191;1840008353
Somerville;Somerville;AL;Alabama;1103;Morgan;01103;Morgan;344676;-867936;723;91;polygon;FAUX;VRAI;America/Chicago;3;35670 35640;1840004313
Woodstock;Woodstock;AL;Alabama;1007;Bibb;01007;Bibb;332194;-871489;40940;87;polygon;FAUX;VRAI;America/Chicago;3;35188 35111;1840016895
Jacksonville;Jacksonville;AL;Alabama;1015;Calhoun;01015;Calhoun;338088;-857544;12612;444;polygon;FAUX;VRAI;America/Chicago;3;36265;1840007433
Moody;Moody;AL;Alabama;1115;St. Clair;01115;St. Clair;335986;-864963;12956;203;polygon;FAUX;VRAI;America/Chicago;3;35094 35173 35004 35120;1840014770
Arab;Arab;AL;Alabama;1095;Marshall;01095|01043;Marshall|Cullman;343309;-864991;82440;240;polygon;FAUX;VRAI;America/Chicago;3;35016;1840013600
Dodge City;Dodge City;AL;Alabama;1043;Cullman;01043;Cullman;340452;-868837;603;67;polygon;FAUX;VRAI;America/Chicago;3;35057 35077;1840016700
Demopolis;Demopolis;AL;Alabama;1091;Marengo;01091;Marengo;324980;-878298;59070;149;polygon;FAUX;VRAI;America/Chicago;3;36732 36742;1840014897
Webb;Webb;AL;Alabama;1069;Houston;01069;Houston;312572;-852896;1423;48;polygon;FAUX;VRAI;America/Chicago;3;36376 36321;1840017134
Bristow Cove;Bristow Cove;AL;Alabama;1055;Etowah;01055;Etowah;341092;-862410;762;27;polygon;FAUX;VRAI;America/Chicago;3;35956;1840037800
Altoona;Altoona;AL;Alabama;1055;Etowah;01055|01009;Etowah|Blount;340310;-863181;917;81;polygon;FAUX;VRAI;America/Chicago;3;35952;1840000720
Highland Lake;Highland Lake;AL;Alabama;1009;Blount;01009;Blount;338876;-864244;418;98;polygon;FAUX;VRAI;America/Chicago;3;35121;1840015602
Decatur;Decatur;AL;Alabama;1103;Morgan;01103|01083;Morgan|Limestone;345730;-869905;688160;388;polygon;FAUX;VRAI;America/Chicago;3;35603 35601 35602 35609;1840001403
Dutton;Dutton;AL;Alabama;1071;Jackson;01071;Jackson;346062;-859119;305;136;polygon;FAUX;VRAI;America/Chicago;3;35744;1840016525
Hackleburg;Hackleburg;AL;Alabama;1093;Marion;01093;Marion;342693;-878303;1467;37;polygon;FAUX;VRAI;America/Chicago;3;35564;1840016697
Flomaton;Flomaton;AL;Alabama;1053;Escambia;01053;Escambia;310127;-872541;1389;105;polygon;FAUX;VRAI;America/Chicago;3;36441;1840006309
Anderson;Anderson;AL;Alabama;1077;Lauderdale;01077;Lauderdale;349147;-872716;276;82;polygon;FAUX;VRAI;America/Chicago;3;35610;1840015513
Talladega Springs;Talladega Springs;AL;Alabama;1121;Talladega;01121;Talladega;331191;-864420;161;50;polygon;FAUX;VRAI;America/Chicago;3;35151;1840016829
East Brewton;East Brewton;AL;Alabama;1053;Escambia;01053;Escambia;310906;-870556;2386;270;polygon;FAUX;VRAI;America/Chicago;3;36426;1840013889
Daviston;Daviston;AL;Alabama;1123;Tallapoosa;01123;Tallapoosa;330557;-856371;209;8;polygon;FAUX;VRAI;America/Chicago;3;36256;1840016913
Pelham;Pelham;AL;Alabama;1117;Shelby;01117;Shelby;333114;-867573;23493;233;polygon;FAUX;VRAI;America/Chicago;3;35043 35124;1840014826
Linden;Linden;AL;Alabama;1091;Marengo;01091;Marengo;323001;-877926;1936;208;polygon;FAUX;VRAI;America/Chicago;3;36748;1840005138
McKenzie;McKenzie;AL;Alabama;1013;Butler;01013;Butler;315429;-867246;501;51;polygon;FAUX;VRAI;America/Chicago;3;36456;1840017055
Marbury;Marbury;AL;Alabama;1001;Autauga;01001;Autauga;326793;-864607;1926;32;polygon;FAUX;FAUX;America/Chicago;3;36022 36051;1840023045
Excel;Excel;AL;Alabama;1099;Monroe;01099;Monroe;314264;-873433;655;153;polygon;FAUX;VRAI;America/Chicago;3;36460 36439;1840004979
Cullman;Cullman;AL;Alabama;1043;Cullman;01043;Cullman;341777;-868399;191140;276;polygon;FAUX;VRAI;America/Chicago;3;35058 35057 35055 35056;1840001354
Evergreen;Evergreen;AL;Alabama;1035;Conecuh;01035;Conecuh;314342;-869723;23490;71;polygon;FAUX;VRAI;America/Chicago;3;36401;1840001842
Childersburg;Childersburg;AL;Alabama;1121;Talladega;01121;Talladega;332962;-863456;4905;153;polygon;FAUX;VRAI;America/Chicago;3;35044 35014;1840014813
Oakman;Oakman;AL;Alabama;1127;Walker;01127;Walker;337141;-873890;734;91;polygon;FAUX;VRAI;America/Chicago;3;35579;1840016769
Madison;Madison;AL;Alabama;1089;Madison;01089|01083;Madison|Limestone;347114;-867626;48861;622;polygon;FAUX;VRAI;America/Chicago;3;35758 35756;1840015524
Allgood;Allgood;AL;Alabama;1009;Blount;01009;Blount;339064;-865178;624;231;polygon;FAUX;VRAI;America/Chicago;3;35013 35121;1840015599
Roanoke;Roanoke;AL;Alabama;1111;Randolph;01111;Randolph;331453;-853694;41760;122;polygon;FAUX;VRAI;America/Chicago;3;36274;1840014834
Moundville;Moundville;AL;Alabama;1065;Hale;01065|01125;Hale|Tuscaloosa;329968;-876272;25980;205;polygon;FAUX;VRAI;America/Chicago;3;35474;1840016942
Cullomburg;Cullomburg;AL;Alabama;1023;Choctaw;01023|01129;Choctaw|Washington;317131;-882917;144;10;polygon;FAUX;FAUX;America/Chicago;3;36919;1840025919
Red Level;Red Level;AL;Alabama;1039;Covington;01039;Covington;314055;-866084;477;95;polygon;FAUX;VRAI;America/Chicago;3;36474;1840018176
Nectar;Nectar;AL;Alabama;1009;Blount;01009;Blount;339686;-866346;340;72;polygon;FAUX;VRAI;America/Chicago;3;35049 35079;1840016721
Haleyville;Haleyville;AL;Alabama;1133;Winston;01133|01093;Winston|Marion;342349;-876166;37420;184;polygon;FAUX;VRAI;America/Chicago;3;35565;1840013644
Tarrant;Tarrant;AL;Alabama;1073;Jefferson;01073;Jefferson;335945;-867684;6201;375;polygon;FAUX;VRAI;America/Chicago;3;35217;1840015671
St. Florian;St. Florian;AL;Alabama;1077;Lauderdale;01077;Lauderdale;348708;-876222;615;63;polygon;FAUX;VRAI;America/Chicago;3;35634;1840017892
Myrtlewood;Myrtlewood;AL;Alabama;1091;Marengo;01091;Marengo;322521;-879492;118;17;polygon;FAUX;VRAI;America/Chicago;3;36763;1840016994
West End-Cobb Town;West End-Cobb Town;AL;Alabama;1015;Calhoun;01015;Calhoun;336525;-858741;3435;319;polygon;FAUX;VRAI;America/Chicago;3;36201;1840073855
Hurtsboro;Hurtsboro;AL;Alabama;1113;Russell;01113;Russell;322401;-854147;580;216;polygon;FAUX;VRAI;America/Chicago;3;36860;1840016999
Littleville;Littleville;AL;Alabama;1033;Colbert;01033;Colbert;345951;-876719;988;76;polygon;FAUX;VRAI;America/Chicago;3;35674 35654;1840016547
Brilliant;Brilliant;AL;Alabama;1093;Marion;01093;Marion;340254;-877692;871;31;polygon;FAUX;VRAI;America/Chicago;3;35594 35548;1840015586
Franklin;Franklin;AL;Alabama;1087;Macon;01087;Macon;324551;-858066;129;11;polygon;FAUX;VRAI;America/Chicago;3;36083;1840016980
Onycha;Onycha;AL;Alabama;1039;Covington;01039;Covington;312246;-862785;184;89;polygon;FAUX;VRAI;America/Chicago;3;36467;1840017098
Boykin;Boykin;AL;Alabama;1131;Wilcox;01131;Wilcox;320701;-872914;136;19;polygon;FAUX;FAUX;America/Chicago;3;36720 36723;1840025922
Stockton;Stockton;AL;Alabama;1003;Baldwin;01003;Baldwin;309946;-878600;577;23;polygon;FAUX;FAUX;America/Chicago;3;36507 36579;1840027498
Jemison;Jemison;AL;Alabama;1021;Chilton;01021;Chilton;329696;-867339;2627;89;polygon;FAUX;VRAI;America/Chicago;3;35085;1840014862
Lipscomb;Lipscomb;AL;Alabama;1073;Jefferson;01073;Jefferson;334261;-869260;2153;707;polygon;FAUX;VRAI;America/Chicago;3;35020;1840015667
Athens;Athens;AL;Alabama;1083;Limestone;01083;Limestone;347847;-869510;291920;248;polygon;FAUX;VRAI;America/Chicago;3;35611 35613 35612;1840000935
Fairfield;Fairfield;AL;Alabama;1073;Jefferson;01073;Jefferson;334747;-869194;10683;1188;polygon;FAUX;VRAI;America/Chicago;3;35064;1840001883
Black;Black;AL;Alabama;1061;Geneva;01061;Geneva;310102;-857428;208;26;polygon;FAUX;VRAI;America/Chicago;3;36314;1840015882
Saks;Saks;AL;Alabama;1015;Calhoun;01015;Calhoun;337119;-858535;10535;334;polygon;FAUX;FAUX;America/Chicago;3;36201 36206 36202;1840013708
Petrey;Petrey;AL;Alabama;1041;Crenshaw;01041;Crenshaw;318495;-862057;57;29;polygon;FAUX;VRAI;America/Chicago;3;36049 36062;1840017045
Pinckard;Pinckard;AL;Alabama;1045;Dale;01045;Dale;313173;-855430;630;45;polygon;FAUX;VRAI;America/Chicago;3;36371;1840017089
Andalusia;Andalusia;AL;Alabama;1039;Covington;01039;Covington;313101;-864781;64860;172;polygon;FAUX;VRAI;America/Chicago;3;36420 36421;1840004591
Ashville;Ashville;AL;Alabama;1115;St. Clair;01115;St. Clair;338331;-862698;2291;46;polygon;FAUX;VRAI;America/Chicago;3;35953 35987;1840013697
Abbeville;Abbeville;AL;Alabama;1067;Henry;01067;Henry;315664;-852528;2567;63;polygon;FAUX;VRAI;America/Chicago;3;36310;1840000552
Alexander City;Alexander City;AL;Alabama;1123;Tallapoosa;01123;Tallapoosa;329242;-859361;92220;134;polygon;FAUX;VRAI;America/Chicago;3;35010 35011;1840013788
Fulton;Fulton;AL;Alabama;1025;Clarke;01025;Clarke;317916;-877397;255;40;polygon;FAUX;VRAI;America/Chicago;3;36446 36451;1840002425
Clanton;Clanton;AL;Alabama;1021;Chilton;01021;Chilton;328439;-866230;58760;147;polygon;FAUX;VRAI;America/Chicago;3;35045 35046;1840006157
Odenville;Odenville;AL;Alabama;1115;St. Clair;01115;St. Clair;336987;-864225;3760;102;polygon;FAUX;VRAI;America/Chicago;3;35146 35120;1840016774
Thomaston;Thomaston;AL;Alabama;1091;Marengo;01091;Marengo;322683;-876237;386;74;polygon;FAUX;VRAI;America/Chicago;3;36783;1840016998
Lowndesboro;Lowndesboro;AL;Alabama;1085;Lowndes;01085;Lowndes;322764;-866108;100;48;polygon;FAUX;VRAI;America/Chicago;3;36752;1840017005
Leesburg;Leesburg;AL;Alabama;1019;Cherokee;01019;Cherokee;341839;-857750;1021;62;polygon;FAUX;VRAI;America/Chicago;3;35983;1840016636
Aliceville;Aliceville;AL;Alabama;1107;Pickens;01107;Pickens;331237;-881594;2335;197;polygon;FAUX;VRAI;America/Chicago;3;35442;1840013758
Bear Creek;Bear Creek;AL;Alabama;1093;Marion;01093;Marion;342651;-877164;1042;29;polygon;FAUX;VRAI;America/Chicago;3;35581 35543;1840015585
Carolina;Carolina;AL;Alabama;1039;Covington;01039;Covington;312337;-865227;295;102;polygon;FAUX;VRAI;America/Chicago;3;36420;1840015866
Hamilton;Hamilton;AL;Alabama;1093;Marion;01093;Marion;341346;-879755;6646;67;polygon;FAUX;VRAI;America/Chicago;3;35570;1840003629
Akron;Akron;AL;Alabama;1065;Hale;01065;Hale;328785;-877429;332;186;polygon;FAUX;VRAI;America/Chicago;3;35441;1840015775
Jackson;Jackson;AL;Alabama;1025;Clarke;01025;Clarke;315318;-878915;26750;118;polygon;FAUX;VRAI;America/Chicago;3;36545;1840014935
Midfield;Midfield;AL;Alabama;1073;Jefferson;01073;Jefferson;334552;-869227;5092;740;polygon;FAUX;VRAI;America/Chicago;3;35221 35228;1840014791
Argo;Argo;AL;Alabama;1073;Jefferson;01073|01115;Jefferson|St. Clair;336962;-865065;4268;153;polygon;FAUX;VRAI;America/Chicago;3;35173 35120;1840015668
North Courtland;North Courtland;AL;Alabama;1079;Lawrence;01079;Lawrence;346788;-873083;612;356;polygon;FAUX;VRAI;America/Chicago;3;35618;1840016592
Daleville;Daleville;AL;Alabama;1045;Dale;01045;Dale;312915;-857117;5122;139;polygon;FAUX;VRAI;America/Chicago;3;36322;1840014955
Goldville;Goldville;AL;Alabama;1123;Tallapoosa;01123;Tallapoosa;330841;-857831;52;20;polygon;FAUX;VRAI;America/Chicago;3;36255 36256;1840006026
Mignon;Mignon;AL;Alabama;1121;Talladega;01121;Talladega;331948;-862651;1211;233;polygon;FAUX;FAUX;America/Chicago;3;35150;1840027518
Harpersville;Harpersville;AL;Alabama;1117;Shelby;01117;Shelby;333184;-864287;1713;31;polygon;FAUX;VRAI;America/Chicago;3;35078;1840016847
Vinegar Bend;Vinegar Bend;AL;Alabama;1129;Washington;01129;Washington;312594;-883712;368;15;polygon;FAUX;FAUX;America/Chicago;3;36584;1840025964
Wetumpka;Wetumpka;AL;Alabama;1051;Elmore;01051;Elmore;325405;-862053;83100;287;polygon;FAUX;VRAI;America/Chicago;3;36093 36092;1840006013
Citronelle;Citronelle;AL;Alabama;1097;Mobile;01097;Mobile;310952;-882467;3900;58;polygon;FAUX;VRAI;America/Chicago;3;36522;1840014987
Hartford;Hartford;AL;Alabama;1061;Geneva;01061;Geneva;311055;-856916;2592;160;polygon;FAUX;VRAI;America/Chicago;3;36344;1840013892
Tuscaloosa;Tuscaloosa;AL;Alabama;1125;Tuscaloosa;01125;Tuscaloosa;332348;-875266;1542040;627;polygon;FAUX;VRAI;America/Chicago;2;35475 35476 35405 35404 35406 35401 35403 35407 35486 35487;1840005563
Bay Minette;Bay Minette;AL;Alabama;1003;Baldwin;01003;Baldwin;308930;-877912;85320;205;polygon;FAUX;VRAI;America/Chicago;3;36507;1840000959
Hayneville;Hayneville;AL;Alabama;1085;Lowndes;01085;Lowndes;321821;-865787;821;170;polygon;FAUX;VRAI;America/Chicago;3;36040;1840003774
Hatton;Hatton;AL;Alabama;1079;Lawrence;01079;Lawrence;345611;-874136;119;34;polygon;FAUX;FAUX;America/Chicago;3;35672;1840025845
Hoover;Hoover;AL;Alabama;1073;Jefferson;01073|01117;Jefferson|Shelby;333754;-868065;84920;685;polygon;FAUX;VRAI;America/Chicago;3;35216 35244 35242 35080 35226 35236 35260;1840014795
Detroit;Detroit;AL;Alabama;1075;Lamar;01075;Lamar;340274;-881678;225;65;polygon;FAUX;VRAI;America/Chicago;3;35552;1840016757
Meridianville;Meridianville;AL;Alabama;1089;Madison;01089;Madison;348729;-865722;6731;167;polygon;FAUX;FAUX;America/Chicago;3;35773 35750 35759;1840013546
Rainsville;Rainsville;AL;Alabama;1049;DeKalb;01049;DeKalb;344939;-858435;5038;94;polygon;FAUX;VRAI;America/Chicago;3;35986;1840014658
Troy;Troy;AL;Alabama;1109;Pike;01109;Pike;318021;-859665;167820;260;polygon;FAUX;VRAI;America/Chicago;3;36079 36081 36082;1840005558
Underwood-Petersville;Underwood-Petersville;AL;Alabama;1077;Lauderdale;01077;Lauderdale;348770;-876974;3867;257;polygon;FAUX;VRAI;America/Chicago;3;35633;1840073851
Elkmont;Elkmont;AL;Alabama;1083;Limestone;01083;Limestone;349291;-869767;473;114;polygon;FAUX;VRAI;America/Chicago;3;35620;1840016511
Brookwood;Brookwood;AL;Alabama;1125;Tuscaloosa;01125;Tuscaloosa;332397;-873277;1857;85;polygon;FAUX;VRAI;America/Chicago;3;35444;1840015711
Muscle Shoals;Muscle Shoals;AL;Alabama;1033;Colbert;01033;Colbert;347435;-876343;14022;327;polygon;FAUX;VRAI;America/Chicago;3;35661 35662;1840014657
Fairview;Fairview;AL;Alabama;1043;Cullman;01043;Cullman;342477;-866843;459;65;polygon;FAUX;VRAI;America/Chicago;3;35058;1840002078
Southside;Southside;AL;Alabama;1055;Etowah;01055|01015;Etowah|Calhoun;339007;-860237;8731;177;polygon;FAUX;VRAI;America/Chicago;3;35907;1840015604
Luverne;Luverne;AL;Alabama;1041;Crenshaw;01041;Crenshaw;317186;-862687;2770;68;polygon;FAUX;VRAI;America/Chicago;3;36049;1840004042
Lynn;Lynn;AL;Alabama;1133;Winston;01133;Winston;340548;-875555;641;23;polygon;FAUX;VRAI;America/Chicago;3;35565 35575;1840016709
Skyline;Skyline;AL;Alabama;1071;Jackson;01071;Jackson;347987;-861229;826;80;polygon;FAUX;VRAI;America/Chicago;3;35768 35776;1840017900
Millry;Millry;AL;Alabama;1129;Washington;01129;Washington;316256;-883191;510;26;polygon;FAUX;VRAI;America/Chicago;3;36558;1840017081
Fruithurst;Fruithurst;AL;Alabama;1029;Cleburne;01029;Cleburne;337297;-854312;281;108;polygon;FAUX;VRAI;America/Chicago;3;36262;1840002170
Eunola;Eunola;AL;Alabama;1061;Geneva;01061;Geneva;310326;-858410;311;65;polygon;FAUX;FAUX;America/Chicago;3;36340;1840001835
South Vinemont;South Vinemont;AL;Alabama;1043;Cullman;01043;Cullman;342348;-868642;766;339;polygon;FAUX;VRAI;America/Chicago;3;35058 35179;1840017959
Huguley;Huguley;AL;Alabama;1017;Chambers;01017;Chambers;328431;-852397;2335;109;polygon;FAUX;FAUX;America/Chicago;3;36863;1840013787
Clayton;Clayton;AL;Alabama;1005;Barbour;01005;Barbour;318822;-854604;2871;163;polygon;FAUX;VRAI;America/Chicago;3;36016;1840001251
Dora;Dora;AL;Alabama;1127;Walker;01127;Walker;337292;-870850;1913;98;polygon;FAUX;VRAI;America/Chicago;3;35130 35062;1840005829
Elberta;Elberta;AL;Alabama;1003;Baldwin;01003;Baldwin;303847;-875886;1714;96;polygon;FAUX;VRAI;America/Chicago;3;36530;1840017125
Gulfcrest;Gulfcrest;AL;Alabama;1097;Mobile;01097;Mobile;309925;-882399;316;80;polygon;FAUX;FAUX;America/Chicago;3;36521;1840025982
Berry;Berry;AL;Alabama;1057;Fayette;01057;Fayette;336623;-876079;1098;39;polygon;FAUX;VRAI;America/Chicago;3;35546;1840015661
Colony;Colony;AL;Alabama;1043;Cullman;01043;Cullman;339413;-869016;275;47;polygon;FAUX;VRAI;America/Chicago;3;35077;1840073883
Boaz;Boaz;AL;Alabama;1095;Marshall;01095|01055|01049;Marshall|Etowah|DeKalb;341985;-861529;9652;256;polygon;FAUX;VRAI;America/Chicago;3;35957 35956;1840013602
Twin;Twin;AL;Alabama;1093;Marion;01093;Marion;339978;-878497;387;44;polygon;FAUX;VRAI;America/Chicago;3;35563 35548;1840022874
Libertyville;Libertyville;AL;Alabama;1039;Covington;01039;Covington;312428;-864599;114;84;polygon;FAUX;VRAI;America/Chicago;3;36420;1840017094
Coker;Coker;AL;Alabama;1125;Tuscaloosa;01125;Tuscaloosa;332446;-876799;980;194;polygon;FAUX;VRAI;America/Chicago;3;35452;1840016841
Haleburg;Haleburg;AL;Alabama;1067;Henry;01067;Henry;314099;-851381;99;9;polygon;FAUX;VRAI;America/Chicago;3;36319;1840017072
Millport;Millport;AL;Alabama;1075;Lamar;01075;Lamar;335586;-880817;989;69;polygon;FAUX;VRAI;America/Chicago;3;35576;1840016756
Mountain Brook;Mountain Brook;AL;Alabama;1073;Jefferson;01073;Jefferson;334871;-867400;20381;613;polygon;FAUX;VRAI;America/Chicago;3;35213 35243 35223 35253;1840014792
Parrish;Parrish;AL;Alabama;1127;Walker;01127;Walker;337323;-872802;944;174;polygon;FAUX;VRAI;America/Chicago;3;35580;1840016770
Center Point;Center Point;AL;Alabama;1073;Jefferson;01073;Jefferson;336446;-866851;16313;1017;polygon;FAUX;VRAI;America/Chicago;3;35215;1840014789
Russellville;Russellville;AL;Alabama;1059;Franklin;01059;Franklin;345056;-877282;97320;279;polygon;FAUX;VRAI;America/Chicago;3;35654 35653;1840004247
Meadowbrook;Meadowbrook;AL;Alabama;1117;Shelby;01117;Shelby;333933;-867041;9115;819;polygon;FAUX;FAUX;America/Chicago;3;35242;1840027633
Woodland;Woodland;AL;Alabama;1111;Randolph;01111;Randolph;333756;-853975;181;44;polygon;FAUX;VRAI;America/Chicago;3;36280;1840016866
